starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 17 09:31:07 2018	1537169467	333	56	388	56
Mon Sep 17 09:33:31 2018	1537169611	282	138	420	135
Mon Sep 17 09:31:07 2018	1537169467	332	88	421	55
Mon Sep 17 09:34:31 2018	1537169671	339	122	461	121
Mon Sep 17 09:34:31 2018	1537169671	318	143	462	142
Mon Sep 17 09:33:22 2018	1537169602	353	109	463	109
Mon Sep 17 09:33:22 2018	1537169602	337	125	463	125
Mon Sep 17 09:34:28 2018	1537169668	368	106	475	106
Mon Sep 17 09:34:25 2018	1537169665	450	66	516	66
Mon Sep 17 09:35:33 2018	1537169733	440	86	526	77
Mon Sep 17 09:35:33 2018	1537169733	432	95	526	94
Mon Sep 17 09:33:22 2018	1537169602	460	85	545	56
Mon Sep 17 09:33:22 2018	1537169602	475	71	547	69
Mon Sep 17 09:33:22 2018	1537169602	460	87	547	85
Mon Sep 17 09:34:25 2018	1537169665	496	61	557	61
Mon Sep 17 09:32:49 2018	1537169569	341	217	558	216
Mon Sep 17 09:32:49 2018	1537169569	366	192	558	191
Mon Sep 17 09:32:49 2018	1537169569	356	203	558	202
Mon Sep 17 09:33:22 2018	1537169602	499	66	565	66
Mon Sep 17 09:33:22 2018	1537169602	516	53	570	53
Mon Sep 17 09:33:22 2018	1537169602	530	54	584	53
Mon Sep 17 09:33:22 2018	1537169602	530	55	585	53
Mon Sep 17 09:34:25 2018	1537169665	514	82	596	78
Mon Sep 17 09:34:25 2018	1537169665	540	57	597	56
Mon Sep 17 09:34:31 2018	1537169671	347	255	602	254
Mon Sep 17 09:32:55 2018	1537169575	467	166	633	154
Mon Sep 17 09:32:55 2018	1537169575	479	158	636	145
Mon Sep 17 09:34:48 2018	1537169688	479	172	650	171
Mon Sep 17 09:33:22 2018	1537169602	530	122	652	122
Mon Sep 17 09:33:22 2018	1537169602	545	108	653	107
Mon Sep 17 09:33:22 2018	1537169602	553	100	654	99
Mon Sep 17 09:33:22 2018	1537169602	560	94	654	92
Mon Sep 17 09:33:22 2018	1537169602	543	111	654	109
Mon Sep 17 09:33:22 2018	1537169602	543	111	654	110
Mon Sep 17 09:33:22 2018	1537169602	543	111	654	110
Mon Sep 17 09:32:31 2018	1537169551	598	99	697	96
Mon Sep 17 09:36:26 2018	1537169786	621	81	702	79
Mon Sep 17 09:34:24 2018	1537169664	628	75	703	72
Mon Sep 17 09:33:40 2018	1537169620	631	73	705	73
Mon Sep 17 09:32:31 2018	1537169551	586	123	709	121
Mon Sep 17 09:32:31 2018	1537169551	597	112	709	110
Mon Sep 17 09:32:31 2018	1537169551	597	113	709	110
Mon Sep 17 09:35:30 2018	1537169730	487	222	710	187
Mon Sep 17 09:33:40 2018	1537169620	631	88	719	73
Mon Sep 17 09:33:40 2018	1537169620	631	89	720	73
Mon Sep 17 09:35:28 2018	1537169728	624	100	724	99
Mon Sep 17 09:35:28 2018	1537169728	565	164	729	162
Mon Sep 17 09:35:28 2018	1537169728	552	178	730	176
Mon Sep 17 09:35:28 2018	1537169728	516	214	730	213
Mon Sep 17 09:35:09 2018	1537169709	641	95	736	92
Mon Sep 17 09:34:24 2018	1537169664	604	135	739	132
Mon Sep 17 09:33:22 2018	1537169602	569	174	743	172
Mon Sep 17 09:33:22 2018	1537169602	410	333	743	330
Mon Sep 17 09:33:22 2018	1537169602	615	128	744	126
Mon Sep 17 09:33:22 2018	1537169602	630	114	744	113
Mon Sep 17 09:33:22 2018	1537169602	616	128	744	126
Mon Sep 17 09:33:22 2018	1537169602	645	99	744	98
Mon Sep 17 09:33:22 2018	1537169602	645	99	744	97
Mon Sep 17 09:33:22 2018	1537169602	646	98	744	97
Mon Sep 17 09:35:09 2018	1537169709	667	77	745	77
Mon Sep 17 09:35:09 2018	1537169709	667	78	745	77
Mon Sep 17 09:34:24 2018	1537169664	640	105	745	104
Mon Sep 17 09:32:31 2018	1537169551	669	80	750	80
Mon Sep 17 09:34:24 2018	1537169664	640	114	754	113
Mon Sep 17 09:34:24 2018	1537169664	640	114	754	114
Mon Sep 17 09:32:31 2018	1537169551	669	86	755	86
Mon Sep 17 09:34:24 2018	1537169664	681	75	757	75
Mon Sep 17 09:32:31 2018	1537169551	669	87	757	86
Mon Sep 17 09:34:24 2018	1537169664	682	76	758	76
Mon Sep 17 09:34:24 2018	1537169664	682	77	760	77
Mon Sep 17 09:35:09 2018	1537169709	692	69	761	69
Mon Sep 17 09:32:49 2018	1537169569	378	386	763	385
Mon Sep 17 09:34:24 2018	1537169664	681	84	764	83
Mon Sep 17 09:32:23 2018	1537169543	689	76	765	75
Mon Sep 17 09:32:23 2018	1537169543	679	110	789	66
Mon Sep 17 09:34:08 2018	1537169648	503	288	791	276
Mon Sep 17 09:34:08 2018	1537169648	531	260	791	248
Mon Sep 17 09:35:09 2018	1537169709	717	75	791	75
Mon Sep 17 09:34:24 2018	1537169664	698	99	797	99
Mon Sep 17 09:32:23 2018	1537169543	689	108	797	63
Mon Sep 17 09:33:17 2018	1537169597	618	180	798	178
Mon Sep 17 09:34:24 2018	1537169664	699	110	809	108
Mon Sep 17 09:33:37 2018	1537169617	654	155	809	132
Mon Sep 17 09:34:24 2018	1537169664	733	77	810	77
Mon Sep 17 09:34:24 2018	1537169664	697	115	812	113
Mon Sep 17 09:34:24 2018	1537169664	735	81	816	79
Mon Sep 17 09:35:09 2018	1537169709	731	88	819	88
Mon Sep 17 09:35:09 2018	1537169709	717	103	820	103
Mon Sep 17 09:34:24 2018	1537169664	734	87	820	83
Mon Sep 17 09:35:09 2018	1537169709	732	89	820	89
Mon Sep 17 09:35:09 2018	1537169709	718	103	821	102
Mon Sep 17 09:35:09 2018	1537169709	719	102	821	102
Mon Sep 17 09:35:09 2018	1537169709	718	103	821	102
Mon Sep 17 09:35:09 2018	1537169709	732	90	821	90
Mon Sep 17 09:35:09 2018	1537169709	761	64	825	60
Mon Sep 17 09:35:09 2018	1537169709	744	82	825	78
Mon Sep 17 09:35:09 2018	1537169709	744	86	829	78
Mon Sep 17 09:35:28 2018	1537169728	756	85	842	85
Mon Sep 17 09:33:17 2018	1537169597	656	186	842	186
Mon Sep 17 09:33:17 2018	1537169597	625	217	843	217
Mon Sep 17 09:33:17 2018	1537169597	668	175	843	175
Mon Sep 17 09:32:23 2018	1537169543	711	136	848	115
Mon Sep 17 09:32:23 2018	1537169543	710	138	848	117
Mon Sep 17 09:32:23 2018	1537169543	710	138	848	116
Mon Sep 17 09:36:14 2018	1537169774	766	87	853	86
Mon Sep 17 09:36:14 2018	1537169774	766	88	853	87
Mon Sep 17 09:32:23 2018	1537169543	704	150	854	129
Mon Sep 17 09:36:14 2018	1537169774	766	90	856	90
Mon Sep 17 09:32:31 2018	1537169551	706	152	857	151
Mon Sep 17 09:32:55 2018	1537169575	677	184	861	170
Mon Sep 17 09:36:14 2018	1537169774	766	98	864	97
Mon Sep 17 09:35:52 2018	1537169752	500	366	866	365
Mon Sep 17 09:35:52 2018	1537169752	513	353	866	353
Mon Sep 17 09:32:31 2018	1537169551	694	183	877	151
Mon Sep 17 09:35:52 2018	1537169752	595	282	877	271
Mon Sep 17 09:35:53 2018	1537169753	614	266	880	265
Mon Sep 17 09:35:52 2018	1537169752	624	265	889	265
Mon Sep 17 09:35:09 2018	1537169709	780	110	890	109
Mon Sep 17 09:33:23 2018	1537169603	647	245	891	243
Mon Sep 17 09:34:08 2018	1537169648	789	111	900	109
Mon Sep 17 09:34:08 2018	1537169648	813	87	900	85
Mon Sep 17 09:34:08 2018	1537169648	777	124	900	121
Mon Sep 17 09:34:08 2018	1537169648	764	136	900	134
Mon Sep 17 09:36:26 2018	1537169786	825	81	906	79
Mon Sep 17 09:36:26 2018	1537169786	692	216	908	214
Mon Sep 17 09:36:09 2018	1537169769	580	329	909	329
Mon Sep 17 09:34:48 2018	1537169688	686	224	910	223
Mon Sep 17 09:36:26 2018	1537169786	695	216	911	214
Mon Sep 17 09:35:33 2018	1537169733	478	434	912	419
Mon Sep 17 09:36:26 2018	1537169786	696	216	913	214
Mon Sep 17 09:36:26 2018	1537169786	674	241	915	239
Mon Sep 17 09:36:26 2018	1537169786	846	69	915	67
Mon Sep 17 09:36:26 2018	1537169786	854	61	916	61
Mon Sep 17 09:36:26 2018	1537169786	835	81	916	79
Mon Sep 17 09:36:26 2018	1537169786	854	62	916	61
Mon Sep 17 09:36:26 2018	1537169786	843	76	919	70
Mon Sep 17 09:36:26 2018	1537169786	857	62	919	61
Mon Sep 17 09:32:55 2018	1537169575	830	90	920	87
Mon Sep 17 09:35:28 2018	1537169728	658	265	923	264
Mon Sep 17 09:35:30 2018	1537169730	600	324	923	324
Mon Sep 17 09:36:26 2018	1537169786	853	74	927	62
Mon Sep 17 09:36:14 2018	1537169774	756	172	928	72
Mon Sep 17 09:32:55 2018	1537169575	831	99	931	93
Mon Sep 17 09:36:26 2018	1537169786	857	74	931	61
Mon Sep 17 09:34:48 2018	1537169688	787	146	933	146
Mon Sep 17 09:34:48 2018	1537169688	787	147	934	147
Mon Sep 17 09:32:49 2018	1537169569	816	118	934	115
Mon Sep 17 09:34:48 2018	1537169688	799	136	935	136
Mon Sep 17 09:33:23 2018	1537169603	874	63	937	63
Mon Sep 17 09:34:08 2018	1537169648	884	53	937	53
Mon Sep 17 09:32:13 2018	1537169533	892	57	948	56
Mon Sep 17 09:33:23 2018	1537169603	862	92	954	91
Mon Sep 17 09:32:31 2018	1537169551	486	469	955	467
Mon Sep 17 09:32:31 2018	1537169551	776	180	956	178
Mon Sep 17 09:34:48 2018	1537169688	887	69	956	69
Mon Sep 17 09:32:55 2018	1537169575	858	98	956	98
Mon Sep 17 09:34:48 2018	1537169688	897	59	956	59
Mon Sep 17 09:32:31 2018	1537169551	525	431	956	429
Mon Sep 17 09:32:55 2018	1537169575	858	98	956	98
Mon Sep 17 09:33:23 2018	1537169603	874	83	957	82
Mon Sep 17 09:32:31 2018	1537169551	525	431	957	429
Mon Sep 17 09:32:31 2018	1537169551	822	135	957	132
Mon Sep 17 09:32:31 2018	1537169551	821	136	957	133
Mon Sep 17 09:32:31 2018	1537169551	821	135	957	133
Mon Sep 17 09:32:31 2018	1537169551	511	446	957	444
Mon Sep 17 09:32:31 2018	1537169551	489	468	957	445
Mon Sep 17 09:32:31 2018	1537169551	795	163	957	160
Mon Sep 17 09:32:31 2018	1537169551	822	135	957	133
Mon Sep 17 09:32:31 2018	1537169551	811	146	957	144
Mon Sep 17 09:34:48 2018	1537169688	876	82	958	81
Mon Sep 17 09:32:31 2018	1537169551	795	163	958	161
Mon Sep 17 09:32:31 2018	1537169551	500	458	958	456
Mon Sep 17 09:32:31 2018	1537169551	795	163	958	161
Mon Sep 17 09:32:31 2018	1537169551	796	163	958	161
Mon Sep 17 09:34:48 2018	1537169688	877	81	959	81
Mon Sep 17 09:34:08 2018	1537169648	853	112	965	112
Mon Sep 17 09:32:31 2018	1537169551	802	163	965	161
Mon Sep 17 09:34:48 2018	1537169688	886	80	966	61
Mon Sep 17 09:34:48 2018	1537169688	877	90	967	79
Mon Sep 17 09:34:48 2018	1537169688	897	73	970	60
Mon Sep 17 09:32:13 2018	1537169533	892	80	972	57
Mon Sep 17 09:32:23 2018	1537169543	711	261	973	261
Mon Sep 17 09:34:08 2018	1537169648	896	80	976	70
Mon Sep 17 09:32:48 2018	1537169568	895	89	983	88
Mon Sep 17 09:32:48 2018	1537169568	895	88	983	88
Mon Sep 17 09:32:48 2018	1537169568	910	74	983	73
Mon Sep 17 09:32:48 2018	1537169568	910	74	984	72
Mon Sep 17 09:32:49 2018	1537169569	895	91	986	91
Mon Sep 17 09:32:49 2018	1537169569	896	92	987	92
Mon Sep 17 09:32:49 2018	1537169569	851	137	987	137
Mon Sep 17 09:32:49 2018	1537169569	828	160	987	159
Mon Sep 17 09:35:41 2018	1537169741	730	260	990	258
Mon Sep 17 09:35:41 2018	1537169741	686	306	991	302
Mon Sep 17 09:32:07 2018	1537169527	819	173	992	158
Mon Sep 17 09:35:41 2018	1537169741	713	279	992	275
Mon Sep 17 09:33:05 2018	1537169585	449	551	1000	550
Mon Sep 17 09:33:23 2018	1537169603	921	79	1000	76
Mon Sep 17 09:33:23 2018	1537169603	921	79	1000	78
Mon Sep 17 09:33:23 2018	1537169603	892	108	1000	106
Mon Sep 17 09:33:23 2018	1537169603	908	92	1000	90
Mon Sep 17 09:33:05 2018	1537169585	501	499	1000	499
Mon Sep 17 09:33:23 2018	1537169603	893	107	1000	106
Mon Sep 17 09:33:23 2018	1537169603	800	200	1000	198
Mon Sep 17 09:33:05 2018	1537169585	475	525	1000	525
Mon Sep 17 09:33:05 2018	1537169585	475	525	1001	525
Mon Sep 17 09:33:23 2018	1537169603	863	138	1001	136
Mon Sep 17 09:33:23 2018	1537169603	786	215	1001	213
Mon Sep 17 09:33:23 2018	1537169603	893	107	1001	106
Mon Sep 17 09:33:23 2018	1537169603	786	215	1001	213
Mon Sep 17 09:32:07 2018	1537169527	892	109	1001	108
Mon Sep 17 09:33:23 2018	1537169603	774	228	1001	226
Mon Sep 17 09:33:23 2018	1537169603	757	245	1001	242
Mon Sep 17 09:33:23 2018	1537169603	725	276	1002	274
Mon Sep 17 09:33:23 2018	1537169603	290	712	1002	696
Mon Sep 17 09:33:23 2018	1537169603	774	228	1002	226
Mon Sep 17 09:32:07 2018	1537169527	892	110	1002	110
Mon Sep 17 09:33:23 2018	1537169603	758	244	1002	242
Mon Sep 17 09:33:23 2018	1537169603	774	229	1003	227
Mon Sep 17 09:32:55 2018	1537169575	902	100	1003	100
Mon Sep 17 09:32:07 2018	1537169527	817	186	1003	184
